iter	Passed	Remaining
863	39098	15204
864	39141	15158
865	39185	15113
866	39227	15066
867	39270	15020
868	39312	14973
869	39355	14928
870	39396	14881
871	39439	14835
872	39481	14788
873	39523	14742
874	39566	14696
875	39606	14648
876	39651	14603
877	39691	14556
878	39733	14510
879	39773	14463
880	39819	14418
881	39871	14375
882	39920	14331
883	39962	14285
884	40003	14238
885	40044	14191
886	40087	14145
887	40129	14099
888	40171	14053
889	40214	14007
890	40256	13960
891	40302	13916
892	40345	13870
893	40390	13825
894	40437	13780
895	40485	13736
896	40532	13691
897	40579	13647
898	40623	13601
899	40667	13555
900	40708	13509
901	40751	13463
902	40794	13417
903	40839	13372
904	40886	13327
905	40929	13281
906	40971	13235
907	41014	13189
908	41056	13143
909	41099	13097
910	41143	13052
911	41185	13005
912	41229	12960
913	41271	12914
914	41312	12867
915	41355	12822
916	41398	12776
917	41441	12730
918	41487	12685
919	41530	12639
920	41571	12593
921	41614	12547
922	41655	12501
923	41698	12455
924	41741	12409
925	41783	12363
926	41828	12318
927	41876	12274
928	41921	12228
929	41964	12183
930	42008	12137
931	42051	12092
932	42093	12046
933	42135	12000
934	42178	11954
935	42221	11908
936	42265	11863
937	42310	11818
938	42356	11773
939	42402	11728
940	42449	11683
941	42495	11638
942	42541	11593
943	42582	11547
944	42625	11502
945	42667	11456
946	42708	11409
947	42754	11365
948	42796	11319
949	42844	11274
950	42889	11229
951	42931	11183
952	42973	11137
953	43017	11092
954	43060	11047
955	43106	11002
956	43149	10956
957	43191	10910
958	43234	10865
959	43280	10820
960	43327	10775
961	43372	10730
962	43416	10684
963	43459	10639
964	43500	10593
965	43543	10547
966	43587	10502
967	43628	10456
968	43671	10410
969	43714	10365
970	43756	10319
971	43800	10274
972	43848	10229
973	43893	10184
974	43936	10139
975	43980	10093
976	44025	10048
977	44068	10003
978	44112	9958
979	44155	9912
980	44199	9867
981	44244	9822
982	44289	9777
983	44332	9731
984	44376	9686
985	44418	9640
986	44464	9595
987	44505	9549
988	44549	9504
989	44593	9459
990	44637	9413
991	44680	9368
992	44724	9323
993	44767	9277
994	44813	9232
995	44861	9188
996	44905	9143
997	44951	9098
998	44996	9053
999	45041	9008
1000	45087	8963
1001	45133	8918
1002	45177	8873
1003	45224	8828
1004	45273	8784
1005	45318	8739
1006	45363	8694
1007	45409	8649
1008	45454	8604
1009	45499	8559
1010	45545	8514
1011	45589	8469
1012	45635	8424
1013	45681	8379
1014	45726	8334
1015	45771	8289
1016	45817	8244
1017	45867	8200
1018	45912	8155
1019	45957	8110
1020	46004	8065
1021	46051	8020
1022	46102	7976
1023	46154	7932
1024	46201	7887
1025	46246	7842
1026	46290	7797
1027	46334	7752
1028	46380	7707
1029	46424	7662
1030	46471	7617
1031	46517	7572
1032	46563	7527
1033	46608	7482
1034	46654	7437
1035	46698	7392
1036	46744	7347
1037	46792	7302
1038	46844	7258
1039	46889	7213
1040	46936	7168
1041	46980	7123
1042	47029	7079
1043	47076	7034
1044	47123	6989
1045	47169	6944
1046	47214	6899
1047	47259	6854
1048	47306	6809
1049	47353	6764
1050	47399	6719
1051	47444	6674
1052	47490	6629
1053	47537	6584
1054	47583	6539
1055	47628	6494
1056	47674	6449
1057	47718	6404
1058	47765	6359
1059	47813	6314
1060	47862	6270
1061	47909	6225
1062	47955	6180
1063	48000	6135
1064	48046	6090
1065	48091	6045
1066	48137	6000
1067	48183	5955
1068	48234	5910
1069	48279	5865
1070	48324	5820
1071	48368	5775
1072	48415	5730
1073	48460	5685
1074	48509	5640
1075	48556	5595
1076	48601	5550
1077	48648	5505
1078	48692	5460
1079	48737	5415
1080	48784	5370
1081	48834	5325
1082	48880	5280
1083	48927	5235
1084	48971	5190
1085	49018	5145
1086	49066	5100
1087	49111	5055
1088	49155	5010
1089	49201	4965
1090	49247	4920
1091	49292	4875
1092	49337	4829
1093	49381	4784
1094	49427	4739
1095	49472	4694
1096	49519	4649
1097	49566	4604
1098	49612	4559
1099	49660	4514
1100	49707	4469
1101	49754	4424
1102	49802	4379
1103	49850	4334
1104	49897	4289
1105	49944	4244
1106	49995	4200
1107	50042	4155
1108	50089	4110
1109	50140	4065
1110	50190	4020
1111	50238	3975
1112	50288	3930
1113	50335	3885
1114	50387	3841
1115	50439	3796
1116	50492	3751
1117	50538	3706
1118	50589	3661
1119	50641	3617
1120	50689	3572
1121	50739	3527
1122	50791	3482
1123	50840	3437
1124	50886	3392
1125	50931	3347
1126	50976	3301
1127	51022	3256
1128	51068	3211
1129	51116	3166
1130	51161	3121
1131	51206	3076
1132	51252	3030
1133	51298	2985
1134	51341	2940
1135	51388	2895
1136	51433	2849
1137	51479	2804
1138	51525	2759
1139	51570	2714
1140	51614	2668
1141	51660	2623
1142	51704	2578
1143	51750	2533
1144	51802	2488
1145	51848	2443
1146	51894	2397
1147	51941	2352
1148	51987	2307
1149	52032	2262
1150	52077	2217
1151	52121	2171
1152	52168	2126
1153	52214	2081
1154	52259	2036
1155	52307	1990
1156	52354	1945
1157	52399	1900
1158	52446	1855
1159	52491	1810
1160	52540	1764
1161	52588	1719
1162	52636	1674
1163	52690	1629
1164	52748	1584
1165	52814	1540
1166	52879	1495
1167	52941	1450
1168	53001	1405
1169	53058	1360
1170	53117	1315
1171	53180	1270
1172	53237	1225
1173	53293	1180
1174	53346	1135
1175	53406	1089
1176	53465	1044
1177	53523	999
1178	53573	954
1179	53628	908
1180	53684	863
1181	53737	818
1182	53808	773
1183	53873	728
1184	53934	682
1185	53993	637
1186	54049	591
1187	54104	546
1188	54153	501
1189	54207	455
1190	54262	410
1191	54321	364
1192	54379	319
1193	54436	273
1194	54488	227
1195	54545	182
1196	54596	136
1197	54646	91
1198	54706	45
1199	54753	0
