iter	Passed	Remaining
903	19837	6495
904	19858	6473
905	19877	6450
906	19896	6427
907	19916	6404
908	19935	6382
909	19954	6359
910	19974	6336
911	19993	6313
912	20012	6290
913	20033	6268
914	20051	6245
915	20071	6223
916	20090	6200
917	20110	6177
918	20129	6154
919	20149	6132
920	20168	6109
921	20187	6086
922	20207	6064
923	20227	6041
924	20246	6019
925	20268	5997
926	20292	5976
927	20312	5953
928	20332	5931
929	20351	5908
930	20370	5885
931	20390	5863
932	20408	5840
933	20427	5817
934	20446	5794
935	20465	5772
936	20483	5749
937	20503	5726
938	20523	5704
939	20544	5682
940	20563	5659
941	20582	5637
942	20602	5614
943	20621	5592
944	20640	5569
945	20659	5547
946	20682	5525
947	20705	5504
948	20724	5481
949	20744	5458
950	20763	5436
951	20783	5414
952	20803	5391
953	20822	5369
954	20842	5346
955	20861	5324
956	20882	5302
957	20901	5280
958	20920	5257
959	20940	5235
960	20959	5212
961	20978	5190
962	20997	5167
963	21015	5144
964	21037	5123
965	21057	5100
966	21077	5078
967	21095	5055
968	21114	5033
969	21134	5011
970	21152	4988
971	21172	4966
972	21191	4943
973	21210	4921
974	21230	4899
975	21250	4877
976	21273	4855
977	21292	4833
978	21312	4811
979	21332	4788
980	21350	4766
981	21369	4744
982	21388	4721
983	21407	4699
984	21426	4676
985	21446	4654
986	21465	4632
987	21484	4610
988	21503	4587
989	21522	4565
990	21541	4543
991	21560	4520
992	21579	4498
993	21597	4475
994	21617	4453
995	21636	4431
996	21657	4409
997	21679	4388
998	21700	4366
999	21720	4344
1000	21739	4321
1001	21759	4299
1002	21779	4277
1003	21799	4255
1004	21821	4233
1005	21840	4211
1006	21859	4189
1007	21878	4167
1008	21898	4145
1009	21918	4123
1010	21938	4101
1011	21957	4079
1012	21976	4056
1013	21996	4034
1014	22016	4012
1015	22034	3990
1016	22053	3968
1017	22072	3946
1018	22091	3923
1019	22110	3901
1020	22130	3879
1021	22150	3857
1022	22168	3835
1023	22188	3813
1024	22207	3791
1025	22228	3769
1026	22251	3748
1027	22272	3726
1028	22294	3704
1029	22315	3683
1030	22334	3661
1031	22353	3638
1032	22371	3616
1033	22391	3594
1034	22411	3572
1035	22430	3550
1036	22449	3528
1037	22469	3506
1038	22488	3484
1039	22507	3462
1040	22527	3440
1041	22545	3418
1042	22564	3396
1043	22583	3374
1044	22602	3352
1045	22622	3330
1046	22641	3308
1047	22664	3287
1048	22682	3265
1049	22701	3243
1050	22721	3221
1051	22740	3199
1052	22758	3177
1053	22777	3155
1054	22797	3133
1055	22818	3111
1056	22837	3089
1057	22856	3067
1058	22875	3045
1059	22894	3023
1060	22913	3001
1061	22932	2979
1062	22951	2958
1063	22973	2936
1064	22991	2914
1065	23010	2892
1066	23029	2870
1067	23049	2848
1068	23068	2826
1069	23088	2805
1070	23106	2783
1071	23125	2761
1072	23145	2739
1073	23163	2717
1074	23182	2695
1075	23201	2673
1076	23225	2652
1077	23247	2631
1078	23267	2609
1079	23287	2587
1080	23307	2565
1081	23327	2544
1082	23349	2522
1083	23370	2500
1084	23391	2479
1085	23410	2457
1086	23430	2435
1087	23450	2414
1088	23470	2392
1089	23489	2370
1090	23509	2348
1091	23528	2326
1092	23547	2305
1093	23566	2283
1094	23586	2261
1095	23606	2240
1096	23628	2218
1097	23650	2197
1098	23671	2175
1099	23691	2153
1100	23710	2132
1101	23730	2110
1102	23750	2088
1103	23770	2067
1104	23789	2045
1105	23810	2023
1106	23830	2002
1107	23850	1980
1108	23870	1958
1109	23892	1937
1110	23912	1915
1111	23932	1893
1112	23952	1872
1113	23970	1850
1114	23990	1828
1115	24009	1807
