player,match_id,sum_xG,goals,season,date,minutes_played,games,time,goals_total,xG,assists,xA,shots,key_passes,position,player_team,npg,npxG,xGChain,xGBuildup,opponent_team,shots_per90,xG_per90,goals_per90,is_goals,xG_last5,shots_last5,goals_last5,xG_cummean,minutes_played_last5,finishing_efficiency,finishing_efficiency_hist,shots_hist,finishing_eff_weighted,finishing_form
remo freuler,7743,0.0428906008601188,0.0,2017,2018-02-18,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Fiorentina,1.23,0.13,0.15,0,0.0484564989805221,41.0,0.2,0.11414122538732697,74.0,0.0,1.31942002228398,2087.0,1.31942002228398,0.7705111325092853
remo freuler,7769,0.1098100021481514,0.0,2017,2018-03-11,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Bologna,1.23,0.13,0.15,0,0.04974841922521586,41.0,0.2,0.1129920217659204,76.8,0.0,1.1935067591276651,2128.0,1.1935067591276651,0.8390060329750231
remo freuler,7779,0.0495246015489101,0.0,2017,2018-03-18,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Verona,1.23,0.13,0.15,0,0.07171041965484615,41.0,0.2,0.1129415135180193,81.6,0.0,1.0796314355245733,2169.0,1.0796314355245733,0.7657849745514571
remo freuler,7798,0.4800670146942138,0.0,2017,2018-03-31,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Udinese,1.23,0.13,0.15,0,0.06793132051825518,41.0,0.0,0.11195062426850197,90.0,0.0,0.976639178126542,2210.0,0.976639178126542,0.898254957061725
remo freuler,7767,0.126009002327919,0.0,2017,2018-04-03,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Sampdoria,1.23,0.13,0.15,0,0.14421054348349566,41.0,0.0,0.11761395335197446,57.0,0.0,0.8834866315601503,2251.0,0.8834866315601503,0.8256922200169001
remo freuler,7799,0.0342015996575355,0.0,2017,2018-04-07,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,SPAL 2013,1.23,0.13,0.15,0,0.16166024431586262,41.0,0.0,0.11774115106373119,84.6,0.0,0.7992310586275374,2292.0,0.7992310586275374,0.7170298897557332
remo freuler,7812,0.0994276031851768,0.0,2017,2018-04-14,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Inter,1.23,0.13,0.15,0,0.15992244407534595,41.0,0.0,0.11649429208751932,56.8,0.0,0.7230205295884613,2333.0,0.7230205295884613,0.7872934148210742
remo freuler,7819,0.6926860213279724,1.0,2017,2018-04-18,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Benevento,1.23,0.13,0.15,1,0.15784596428275105,41.0,0.0,0.11624331136836723,90.0,1.4436346813179222,0.6540850874484799,2374.0,0.6540850874484799,0.8799595181480535
remo freuler,7838,0.5272470116615295,1.0,2017,2018-04-22,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Torino,1.23,0.13,0.15,1,0.28647824823856355,41.0,0.2,0.12459755354169484,85.2,1.896608253437407,0.7293557079234503,2415.0,0.7293557079234503,0.876726865407668
remo freuler,7841,0.1534740030765533,0.0,2017,2018-04-29,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Genoa,1.23,0.13,0.15,0,0.2959142476320267,41.0,0.4,0.13034968865769248,87.4,0.0,0.8406234890737281,2456.0,0.8406234890737281,0.8352133157780965
